filename	task	condition	order
func/sub-M1_ses-20100926_task-dkl_run-01_bold.nii.gz	dkl	1	1
func/sub-M1_ses-20100926_task-dkl_run-02_bold.nii.gz	dkl	1	2
func/sub-M1_ses-20100926_task-dkl_run-03_bold.nii.gz	dkl	1	3
func/sub-M1_ses-20100926_task-dkl_run-04_bold.nii.gz	dkl	1	4
func/sub-M1_ses-20100926_task-dkl_run-05_bold.nii.gz	dkl	2	1
func/sub-M1_ses-20100926_task-dkl_run-06_bold.nii.gz	dkl	2	2
func/sub-M1_ses-20100926_task-dkl_run-07_bold.nii.gz	dkl	2	3
func/sub-M1_ses-20100926_task-dkl_run-08_bold.nii.gz	dkl	2	4
func/sub-M1_ses-20100926_task-dkl_run-09_bold.nii.gz	dkl	3	1
func/sub-M1_ses-20100926_task-dkl_run-10_bold.nii.gz	dkl	3	2
func/sub-M1_ses-20100926_task-dkl_run-11_bold.nii.gz	dkl	3	3
func/sub-M1_ses-20100926_task-dkl_run-12_bold.nii.gz	dkl	3	4
func/sub-M1_ses-20100926_task-dkl_run-13_bold.nii.gz	dkl	4	1
func/sub-M1_ses-20100926_task-dkl_run-14_bold.nii.gz	dkl	4	2
func/sub-M1_ses-20100926_task-dkl_run-15_bold.nii.gz	dkl	4	3
func/sub-M1_ses-20100926_task-dkl_run-16_bold.nii.gz	dkl	4	4
func/sub-M1_ses-20100926_task-rest_run-01_bold.nii.gz	rest	n/a	n/a
func/sub-M1_ses-20100926_task-rest_run-02_bold.nii.gz	rest	n/a	n/a
