filename	task	order	notes
func/sub-M1_ses-20101113_task-FreqGratings_run-01_bold.nii.gz	FreqGratings	2	n/a
func/sub-M1_ses-20101113_task-FreqGratings_run-02_bold.nii.gz	FreqGratings	2	n/a
func/sub-M1_ses-20101113_task-FreqGratings_run-03_bold.nii.gz	FreqGratings	2	nogray
func/sub-M1_ses-20101113_task-FreqGratings_run-04_bold.nii.gz	FreqGratings	3	n/a
func/sub-M1_ses-20101113_task-FreqGratings_run-05_bold.nii.gz	FreqGratings	3	n/a
func/sub-M1_ses-20101113_task-FreqGratings_run-06_bold.nii.gz	FreqGratings	4	n/a
func/sub-M1_ses-20101113_task-FreqGratings_run-07_bold.nii.gz	FreqGratings	4	n/a
func/sub-M1_ses-20101113_task-FreqGratings_run-08_bold.nii.gz	FreqGratings	5	n/a
func/sub-M1_ses-20101113_task-FreqGratings_run-09_bold.nii.gz	FreqGratings	5	n/a
func/sub-M1_ses-20101113_task-FreqGratings_run-10_bold.nii.gz	FreqGratings	6	n/a
func/sub-M1_ses-20101113_task-FreqGratings_run-11_bold.nii.gz	FreqGratings	7	n/a
func/sub-M1_ses-20101113_task-FreqGratings_run-12_bold.nii.gz	FreqGratings	8	n/a
func/sub-M1_ses-20101113_task-FreqGratings_run-13_bold.nii.gz	FreqGratings	9	n/a
func/sub-M1_ses-20101113_task-FreqGratings_run-14_bold.nii.gz	FreqGratings	10	nogray
