filename	task	order
func/sub-M2_ses-20101205_task-ecc_run-01_bold.nii.gz	ecc	1
func/sub-M2_ses-20101205_task-ecc_run-02_bold.nii.gz	ecc	1
func/sub-M2_ses-20101205_task-ecc_run-03_bold.nii.gz	ecc	1
func/sub-M2_ses-20101205_task-ecc_run-04_bold.nii.gz	ecc	1
func/sub-M2_ses-20101205_task-ecc_run-05_bold.nii.gz	ecc	1
func/sub-M2_ses-20101205_task-ecc_run-06_bold.nii.gz	ecc	1
func/sub-M2_ses-20101205_task-ecc_run-07_bold.nii.gz	ecc	1
func/sub-M2_ses-20101205_task-ecc_run-08_bold.nii.gz	ecc	2
func/sub-M2_ses-20101205_task-ecc_run-09_bold.nii.gz	ecc	2
func/sub-M2_ses-20101205_task-ecc_run-10_bold.nii.gz	ecc	2
func/sub-M2_ses-20101205_task-ecc_run-11_bold.nii.gz	ecc	2
func/sub-M2_ses-20101205_task-ecc_run-12_bold.nii.gz	ecc	2
func/sub-M2_ses-20101205_task-ecc_run-13_bold.nii.gz	ecc	2
func/sub-M2_ses-20101205_task-ecc_run-14_bold.nii.gz	ecc	2
func/sub-M2_ses-20101205_task-ecc_run-15_bold.nii.gz	ecc	3
func/sub-M2_ses-20101205_task-ecc_run-16_bold.nii.gz	ecc	3
func/sub-M2_ses-20101205_task-ecc_run-17_bold.nii.gz	ecc	3
func/sub-M2_ses-20101205_task-ecc_run-18_bold.nii.gz	ecc	3
func/sub-M2_ses-20101205_task-ecc_run-19_bold.nii.gz	ecc	3
func/sub-M2_ses-20101205_task-ecc_run-20_bold.nii.gz	ecc	3
func/sub-M2_ses-20101205_task-ecc_run-21_bold.nii.gz	ecc	3
